DateTime,E.91,E.8A,BTH,E.66A,E.87,WY,RE
28/07/2025 11:00,115.276008606,109.30607605,108.050056458,110.584381104,140.683792114,113.193023682,251.763153076
28/07/2025 12:00,115.687385559,109.521476746,108.152587891,110.651016235,140.922027588,113.289024353,251.743728638
28/07/2025 13:00,116.105957031,109.739028931,108.2578125,110.717803955,141.164260864,113.393501282,251.729721069
28/07/2025 14:00,116.537834167,109.970603943,108.386253357,110.62802124,141.410385132,113.210014343,251.726425171
28/07/2025 15:00,116.973175049,110.210472107,109.917190552,114.416229248,141.660186768,113.167480469,251.732040405
28/07/2025 16:00,117.421989441,110.462287903,108.889923096,110.152633667,141.913330078,112.908164978,251.807556152
28/07/2025 17:00,117.876533508,110.722206116,108.835380554,112.881240845,142.169586182,112.739738464,251.795913696
28/07/2025 18:00,118.34387207,110.998298645,110.269256592,110.229194641,142.428665161,112.73184967,251.792709351
28/07/2025 19:00,118.817405701,111.279594421,109.714202881,115.036445618,142.690261841,112.701873779,251.96105957
28/07/2025 20:00,119.298583984,111.571235657,109.844146729,109.978370667,142.953948975,112.510658264,251.955886841
28/07/2025 21:00,119.78956604,111.872924805,110.610824585,114.849586487,143.219390869,112.413803101,252.124053955
28/07/2025 22:00,120.284835815,112.183044434,111.00605011,114.540588379,143.486129761,112.183532715,252.112304688
28/07/2025 23:00,120.783729553,112.501899719,111.268096924,114.114303589,143.753738403,111.855361938,252.32572937
29/07/2025 00:00,121.2918396,112.833084106,111.335166931,114.281867981,144.021743774,111.672424316,252.368499756
29/07/2025 01:00,121.802886963,113.177391052,111.390342712,114.343826294,144.289657593,111.594444275,252.545150757
29/07/2025 02:00,122.316955566,113.52646637,111.484642029,114.401649475,144.556900024,111.587341309,252.694915771
29/07/2025 03:00,122.83744812,113.886711121,111.60848999,114.478103638,144.823028564,111.624382019,252.851165771
29/07/2025 04:00,123.356567383,114.251533508,111.756637573,117.988243103,145.087387085,122.958786011,253.013519287
